                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1883,                 5.2374,                 3.9335,                0.80328,                0.00856,                0.00104,                0.00023,                 3.0928,                  52.25,                 2.9691,             0.00036913,             0.00036913,             0.00036913
                      2,                 2.5807,                 3.7402,                 3.0711,                0.07794,                0.02753,                0.02778,                 0.0052,                  3.191,                 17.513,                 2.6498,             0.00070286,             0.00070286,             0.00070286
                      3,                 2.2277,                 3.0056,                 2.6001,                0.48146,                0.06077,                0.05282,                0.01709,                 2.9172,                 13.912,                 2.4078,             0.00099993,             0.00099993,             0.00099993
                      4,                  2.064,                 2.6609,                 2.3301,                0.50929,                0.07195,                0.07219,                0.03677,                 2.5082,                 4.7696,                 2.1513,             0.00094602,             0.00094602,             0.00094602
                      5,                 1.9235,                 2.4333,                 2.1536,                0.53286,                0.07734,                0.08273,                0.04091,                 2.4044,                 4.1593,                 2.0523,             0.00094602,             0.00094602,             0.00094602
                      6,                 1.8817,                 2.3825,                 2.0695,                0.53936,                0.07448,                0.08541,                 0.0456,                 2.3308,                  4.963,                 1.9681,             0.00089102,             0.00089102,             0.00089102
                      7,                 1.7835,                 2.2572,                 2.0074,                0.54475,                0.07575,                0.08914,                0.05324,                 2.2952,                 4.5006,                 1.8894,             0.00083603,             0.00083603,             0.00083603
                      8,                 1.7124,                 2.1679,                 1.9203,                0.52591,                0.08727,                0.09278,                0.05327,                 2.2497,                 4.9041,                 1.8488,             0.00078103,             0.00078103,             0.00078103
                      9,                  1.689,                 2.1341,                 1.8767,                0.53546,                0.08748,                0.10575,                0.06302,                 2.1515,                 4.7434,                 1.7887,             0.00072604,             0.00072604,             0.00072604
                     10,                 1.6274,                 2.0398,                 1.8388,                0.51266,                0.07727,                0.08284,                 0.0443,                  2.251,                 3.8301,                 1.8539,             0.00067104,             0.00067104,             0.00067104
                     11,                  1.925,                 2.4839,                  2.025,                0.73488,                0.09061,                0.11116,                0.06375,                 2.0351,                 3.4674,                 1.6999,             0.00061605,             0.00061605,             0.00061605
                     12,                 1.8208,                  2.259,                  1.939,                0.74263,                0.09192,                0.12293,                0.07847,                 1.9595,                 2.8622,                 1.6237,             0.00056105,             0.00056105,             0.00056105
                     13,                 1.7706,                 2.1626,                 1.8726,                0.55265,                0.12262,                0.13398,                0.08331,                 1.8988,                 3.4885,                 1.5854,             0.00050606,             0.00050606,             0.00050606
                     14,                 1.7492,                 2.1571,                 1.8692,                0.75603,                0.12283,                0.13709,                0.08675,                 1.8502,                 3.3186,                  1.565,             0.00045107,             0.00045107,             0.00045107
                     15,                 1.6978,                 2.0508,                 1.8181,                0.66159,                0.16249,                0.14931,                 0.0922,                 1.9053,                 3.2833,                 1.5801,             0.00039607,             0.00039607,             0.00039607
                     16,                 1.6834,                 1.9748,                 1.7783,                0.58345,                0.16243,                0.16395,                0.10192,                 1.8185,                 2.7971,                  1.504,             0.00034108,             0.00034108,             0.00034108
                     17,                 1.6424,                 1.9496,                 1.7612,                0.66216,                0.16698,                0.17191,                0.10533,                 1.7819,                 2.8327,                 1.4951,             0.00028608,             0.00028608,             0.00028608
                     18,                 1.6119,                 1.8945,                   1.72,                0.64479,                0.17675,                0.17864,                0.10583,                 1.7768,                 2.4173,                 1.4763,             0.00023109,             0.00023109,             0.00023109
                     19,                 1.5842,                  1.833,                 1.7135,                 0.6268,                0.18602,                0.17533,                0.10989,                 1.7476,                 2.5944,                 1.4703,             0.00017609,             0.00017609,             0.00017609
                     20,                 1.5588,                 1.8041,                 1.6838,                0.64629,                0.17526,                0.18867,                0.11548,                 1.7479,                 2.4252,                 1.4574,              0.0001211,              0.0001211,              0.0001211
