                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3465,                 3.2104,                  1.535,                0.74727,                0.11853,                0.11782,                0.06226,                 1.9734,                 25.591,                   1.87,             0.00036913,             0.00036913,             0.00036913
                      2,                 1.4482,                 2.3474,                 1.6001,                0.64287,                0.10437,                0.09615,                0.04333,                  2.038,                 8.7772,                 1.8505,              0.0007297,              0.0007297,              0.0007297
                      3,                  1.509,                  2.036,                 1.6331,                 0.4266,                 0.1251,                0.11812,                0.04759,                 2.0482,                 5.0631,                 1.6717,              0.0010805,              0.0010805,              0.0010805
                      4,                 1.4935,                 1.8789,                 1.6157,                0.59968,                0.14924,                0.13865,                0.06437,                 1.9549,                 4.0725,                 1.6656,               0.001067,               0.001067,               0.001067
                      5,                 1.4381,                 1.7369,                 1.5838,                0.61368,                0.16713,                0.16053,                0.08275,                 1.9455,                 3.7384,                 1.5736,               0.001067,               0.001067,               0.001067
                      6,                 1.3981,                  1.696,                 1.5421,                0.50237,                0.21615,                0.22322,                0.10583,                 1.9167,                  3.791,                 1.5708,              0.0010523,              0.0010523,              0.0010523
                      7,                 1.3772,                  1.615,                 1.5393,                0.66143,                0.19356,                0.19455,                0.10746,                 1.7572,                  3.314,                 1.4306,              0.0010377,              0.0010377,              0.0010377
                      8,                 1.3205,                  1.544,                 1.5001,                0.68602,                0.20918,                0.21179,                0.11201,                 1.7448,                 2.8836,                 1.4231,               0.001023,               0.001023,               0.001023
                      9,                 1.3192,                 1.4855,                 1.4837,                 0.6622,                0.21034,                0.21616,                0.11752,                 1.7385,                 2.5306,                 1.4633,              0.0010083,              0.0010083,              0.0010083
                     10,                 1.2829,                 1.4495,                 1.4605,                0.73309,                0.22584,                0.24687,                0.13151,                 1.6836,                 2.2576,                 1.3894,             0.00099368,             0.00099368,             0.00099368
                     11,                 1.2767,                 1.4387,                 1.4569,                0.67456,                0.23086,                0.24166,                0.12645,                 1.6542,                 2.5097,                 1.3682,             0.00097901,             0.00097901,             0.00097901
                     12,                 1.2686,                 1.4203,                 1.4497,                0.68966,                0.21816,                0.24842,                0.13048,                 1.7505,                 2.7018,                 1.4159,             0.00096435,             0.00096435,             0.00096435
                     13,                 1.2734,                 1.3845,                 1.4502,                0.69645,                0.24337,                0.26194,                0.13658,                 1.5812,                 2.2172,                 1.3418,             0.00094968,             0.00094968,             0.00094968
                     14,                 1.1996,                 1.3432,                 1.4025,                0.73545,                0.25857,                0.29203,                0.15513,                 1.5999,                 2.4871,                 1.3444,             0.00093502,             0.00093502,             0.00093502
                     15,                 1.2194,                 1.3474,                  1.409,                0.72439,                 0.2472,                0.28949,                0.15587,                 1.5966,                 2.2239,                 1.3468,             0.00092035,             0.00092035,             0.00092035
                     16,                 1.2133,                 1.3104,                 1.4072,                0.73151,                0.27087,                0.29397,                0.15433,                 1.5948,                 2.2169,                 1.3171,             0.00090569,             0.00090569,             0.00090569
                     17,                 1.2071,                 1.3028,                 1.3845,                0.69891,                0.25193,                0.28986,                0.15254,                 1.6118,                 2.0272,                 1.3221,             0.00089102,             0.00089102,             0.00089102
                     18,                 1.1854,                 1.2576,                 1.3777,                0.77779,                0.27251,                0.31953,                  0.169,                 1.5726,                 2.4756,                 1.2972,             0.00087636,             0.00087636,             0.00087636
